comfort,mental_health_pre,mental_health_since,wellbeing_since,gender,age,partner,species,loneliness_pre,loneliness_since
48,19,21,22,male,25_34,living_partner,dog,4,4
40,19,20,22,female,45_54,not_living_partner,cat,3,6
48,23,21,16,male,70_over,living_partner,dog,3,3
43,22,21,20,female,55_64,not_living_partner,dog,4,5
48,20,21,16,female,55_64,living_partner,dog,6,4
45,21,20,16,female,55_64,living_partner,dog,3,4
48,22,22,19,female,45_54,not_living_partner,cat,7,7
47,17,16,21,male,45_54,living_partner,cat,7,6
48,20,22,23,female,45_54,living_partner,dog,3,9
31,23,23,18,female,55_64,not_living_partner,cat,3,3
33,19,18,21,male,45_54,living_partner,dog,5,5
42,20,22,16,male,55_64,not_living_partner,dog,5,4
45,19,19,11,male,45_54,not_living_partner,dog,6,6
42,19,18,17,female,25_34,living_partner,dog,4,4
48,19,16,27,female,45_54,not_living_partner,dog,9,9
42,22,22,14,female,70_over,not_living_partner,cat,3,5
36,22,23,17,male,55_64,living_partner,cat,3,5
48,19,19,12,male,55_64,living_partner,dog,5,3
47,20,21,24,female,25_34,not_living_partner,dog,3,9
47,23,25,19,female,70_over,not_living_partner,dog,4,9
48,16,17,22,male,45_54,living_partner,dog,9,6
37,23,22,17,male,65_70,living_partner,dog,3,3
38,22,20,13,female,45_54,living_partner,dog,4,3
12,18,20,17,male,35_44,living_partner,dog,6,5
42,22,21,15,male,55_64,not_living_partner,dog,3,3
48,21,20,14,male,45_54,not_living_partner,cat,4,5
45,22,23,15,male,45_54,not_living_partner,dog,3,5
40,22,24,22,male,55_64,living_partner,dog,3,3
38,22,22,12,male,70_over,living_partner,dog,3,3
46,22,21,12,female,65_70,living_partner,horse,3,4
43,21,22,15,female,45_54,living_partner,cat,3,5
48,16,16,22,male,45_54,not_living_partner,dog,6,6
37,20,20,21,male,35_44,not_living_partner,cat,3,3
43,20,19,23,female,25_34,not_living_partner,dog,9,8
43,20,20,22,male,25_34,living_partner,dog,5,7
46,23,23,16,male,45_54,not_living_partner,dog,3,6
39,21,22,16,female,25_34,living_partner,dog,3,5
